No,id,familyNo,family,name,area,areaName,type,typeId,stage,maxStage,catchRarity,powerTierV1,sourceRole,combatRoleV2,BST,baseHP,baseAttack,baseDefense,baseSpeed,evolutionMethod,evolutionParam,nextId,nextName,encounterPool,capturePolicy,wildCatchable,catchRank,moveProfile,gigaEligible,burstEligible,motif,concept,description,Lv1_HP,Lv1_ATK,Lv1_DEF,Lv1_SPD,Lv5_HP,Lv5_ATK,Lv5_DEF,Lv5_SPD,Lv10_HP,Lv10_ATK,Lv10_DEF,Lv10_SPD,Lv20_HP,Lv20_ATK,Lv20_DEF,Lv20_SPD,Lv30_HP,Lv30_ATK,Lv30_DEF,Lv30_SPD,Lv50_HP,Lv50_ATK,Lv50_DEF,Lv50_SPD,Lv100_HP,Lv100_ATK,Lv100_DEF,Lv100_SPD
001,m001,F001,モコハ,モコハ,1,ひかりの のはら,くさ,grass,1,3,rare,rare,balanced,balanced,200,54,54,48,44,level,17,m002,ワカバネ,wild,normal-wild,True,2,40/40/40/40,False,False,葉と若木,ひとりが苦手で誰かの足元に隠れる。でも大事なもののためなら根を張って動かない,はっぱを かさに して かくれる。だれかの あしもとに ついてくる。,12,6,5,5,20,10,9,9,30,15,14,13,51,26,24,22,72,37,33,31,114,59,53,49,218,113,101,93
002,m002,F001,モコハ,ワカバネ,1,ひかりの のはら,くさ,grass,2,3,rare,rare,balanced,balanced,270,73,73,65,59,level,33,m003,ジュランガ,wild,normal-wild,True,3,40/60/60/40-60,False,False,葉と若木,ひとりが苦手で誰かの足元に隠れる。でも大事なもののためなら根を張って動かない,かくれるのを やめた。はっぱを ふりまわして たたかえる。,12,6,6,6,22,12,11,10,34,19,18,16,59,34,31,28,83,48,44,40,133,78,70,64,256,151,135,123
003,m003,F001,モコハ,ジュランガ,1,ひかりの のはら,くさ,grass,3,3,rare,rare,guard,hpTank,340,100,90,80,70,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,True,False,葉と若木,ひとりが苦手で誰かの足元に隠れる。でも大事なもののためなら根を張って動かない,せなかに たいじゅを せおう。まもると きめたら いっぽも うごかない。,13,6,6,6,25,14,13,12,40,23,21,19,70,41,37,33,100,59,53,47,160,95,85,75,310,185,165,145
004,m004,F002,ヒノポ,ヒノポ,1,ひかりの のはら,ほのお,fire,1,3,rare,rare,attacker,attacker,200,48,76,40,36,level,17,m005,メラガミ,wild,normal-wild,True,2,40/40/40/40,False,False,子獣と炎のたてがみ,こわいとしっぽの火が小さくなる。でも仲間が危ないときだけ誰より熱くなる,しっぽの さきが ぽっと ともる。こわいと ひが ちいさくなる。,11,6,5,5,19,12,9,8,29,20,13,12,49,35,21,19,68,50,29,26,108,81,45,41,206,157,85,77
005,m005,F002,ヒノポ,メラガミ,1,ひかりの のはら,ほのお,fire,2,3,rare,rare,attacker,attacker,270,65,103,54,48,level,33,m006,グレンドウ,wild,normal-wild,True,3,40/60/60/40-60,False,False,子獣と炎のたてがみ,こわいとしっぽの火が小さくなる。でも仲間が危ないときだけ誰より熱くなる,ひの つよさを じぶんで きめられる。さむい なかまを あたためる。,12,7,6,5,21,15,10,9,33,25,15,14,56,46,26,24,79,66,37,33,125,108,59,53,240,211,113,101
006,m006,F002,ヒノポ,グレンドウ,1,ひかりの のはら,ほのお,fire,3,3,rare,rare,attacker,attacker,340,82,130,68,60,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,True,False,子獣と炎のたてがみ,こわいとしっぽの火が小さくなる。でも仲間が危ないときだけ誰より熱くなる,ふだんは しずか。なかまが あぶないと たてがみが もえあがる。,12,7,6,6,23,18,11,11,36,31,18,17,62,57,32,29,89,83,45,41,142,135,73,65,274,265,141,125
007,m007,F003,シズク,シズク,1,ひかりの のはら,みず,water,1,3,rare,rare,guard,hpTank,200,76,48,44,32,level,17,m008,ミナモリ,wild,normal-wild,True,2,40/40/40/40,False,False,雫と深海,あたまの雫を落とすと泣きそうになる。やがて雫は海になる,あたまの しずくを りょうてで かかえている。おとすと ないてしまう。,12,5,5,5,22,9,9,8,35,14,13,11,60,24,22,17,85,33,31,24,136,53,49,37,262,101,93,69
008,m008,F003,シズク,ミナモリ,1,ひかりの のはら,みず,water,2,3,rare,rare,guard,hpTank,270,103,65,59,43,level,33,m009,ワダツラ,wild,normal-wild,True,3,40/60/60/40-60,False,False,雫と深海,あたまの雫を落とすと泣きそうになる。やがて雫は海になる,しずくを じぶんで つくれると きづいた。かわの ながれを よむ。,13,6,6,5,25,11,10,9,40,18,16,13,71,31,28,22,101,44,40,30,163,70,64,48,316,135,123,91
009,m009,F003,シズク,ワダツラ,1,ひかりの のはら,みず,water,3,3,rare,rare,guard,hpTank,340,130,82,74,54,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,True,False,雫と深海,あたまの雫を落とすと泣きそうになる。やがて雫は海になる,からだの なかに うみが ある。ねむると なぎ、おきると なみが たつ。,13,6,6,6,28,13,12,10,46,21,19,15,82,37,34,26,118,54,49,37,190,87,79,59,370,169,153,113
010,m010,F004,ポフィ,ポフィ,1,ひかりの のはら,ノーマル,normal,1,3,common,common,speed,speed,190,42,61,30,57,level,19,m011,ハネウサ,wild,normal-wild,True,1,40/40/40/40,False,False,うさぎと疾走,とにかく走りたい。負けると少しふてくされるが、次はもっと速い,ふわふわの しっぽで バランスを とる。じっと していられない。,11,6,5,6,19,11,8,10,28,17,11,16,46,29,17,27,65,41,23,39,102,66,35,62,194,127,65,119
011,m011,F004,ポフィ,ハネウサ,1,ひかりの のはら,ノーマル,normal,2,3,common,common,speed,speed,256,56,82,41,77,level,38,m012,シッソウガ,wild,normal-wild,True,2,40/60/60/40-60,False,False,うさぎと疾走,とにかく走りたい。負けると少しふてくされるが、次はもっと速い,まがりかたを おぼえた。のはらを いちばん はやく はしる。,12,6,5,6,20,13,9,12,31,21,13,20,52,37,21,35,73,54,29,51,116,87,46,82,222,169,87,159
012,m012,F004,ポフィ,シッソウガ,1,ひかりの のはら,ノーマル,normal,3,3,rare,rare,speed,speed,340,75,109,54,102,,,,,evolutionOnly,not-wild,False,4,60/60/80/100,False,False,うさぎと疾走,とにかく走りたい。負けると少しふてくされるが、次はもっと速い,とおりすぎた あと、かぜの おとだけが のこる。,12,7,6,7,22,15,10,15,35,26,15,25,60,48,26,45,85,70,37,66,135,114,59,107,260,223,113,209
