No,id,familyNo,family,name,area,areaName,type,typeId,stage,maxStage,catchRarity,powerTierV1,sourceRole,combatRoleV2,BST,baseHP,baseAttack,baseDefense,baseSpeed,evolutionMethod,evolutionParam,nextId,nextName,encounterPool,capturePolicy,wildCatchable,catchRank,moveProfile,gigaEligible,burstEligible,motif,concept,description,Lv1_HP,Lv1_ATK,Lv1_DEF,Lv1_SPD,Lv5_HP,Lv5_ATK,Lv5_DEF,Lv5_SPD,Lv10_HP,Lv10_ATK,Lv10_DEF,Lv10_SPD,Lv20_HP,Lv20_ATK,Lv20_DEF,Lv20_SPD,Lv30_HP,Lv30_ATK,Lv30_DEF,Lv30_SPD,Lv50_HP,Lv50_ATK,Lv50_DEF,Lv50_SPD,Lv100_HP,Lv100_ATK,Lv100_DEF,Lv100_SPD
184,m184,F063,ドラミィ,ドラミィ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,1,3,rare,rare,balanced,balanced,200,54,54,48,44,level,42,m185,ソラドラゴ,wild,normal-wild,True,2,40/40/40/40,False,False,子竜と虹,まだ飛べない子竜が、空の果てまで届く,まだ とべない こりゅう。はねを ひろげる れんしゅうちゅう。,12,6,5,5,20,10,9,9,30,15,14,13,51,26,24,22,72,37,33,31,114,59,53,49,218,113,101,93
185,m185,F063,ドラミィ,ソラドラゴ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,2,3,epic,epic,attacker,attacker,292,76,89,66,61,held_item_levelup,dragonfang,m186,ニジリュウガ,wild,normal-wild,True,4,40/60/60/40-60,False,False,子竜と虹,まだ飛べない子竜が、空の果てまで届く,ようやく そらを とべるように なった。うれしくて ずっと とんでいる。,12,6,6,6,22,13,11,11,35,22,18,17,60,40,31,29,85,58,44,41,136,94,71,66,262,183,137,127
186,m186,F063,ドラミィ,ニジリュウガ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,3,3,epic,epic,attacker,attacker,367,94,118,81,74,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,True,False,子竜と虹,まだ飛べない子竜が、空の果てまで届く,そらの はてまで とぶ。とおった あとに にじが のこる。,12,7,6,6,24,16,13,12,38,28,21,19,67,52,37,34,96,75,53,49,154,123,86,79,298,241,167,153
187,m187,F064,リュウノコ,リュウノコ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,1,3,rare,rare,guard,guard,200,64,40,72,24,level,42,m188,ガンリュウガ,wild,normal-wild,True,2,40/40/40/40,False,False,岩竜と大地,岩間で眠る子竜が、山ひとつを守る,いわの すきまで ねむっている こりゅう。おきると おなかが すいている。,12,5,6,5,21,9,12,7,32,13,19,9,55,21,33,14,78,29,48,19,124,45,77,29,238,85,149,53
188,m188,F064,リュウノコ,ガンリュウガ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,2,3,epic,epic,guard,guard,292,94,58,105,35,stone,ancient,m189,ダイチヴァルグ,wild,normal-wild,True,4,40/60/60/40-60,False,False,岩竜と大地,岩間で眠る子竜が、山ひとつを守る,いわの ような うろこ。やまを ひとつ まもっている。,12,6,7,5,24,10,15,8,38,16,26,12,67,28,47,19,96,39,68,26,154,63,110,40,298,121,215,75
189,m189,F064,リュウノコ,ダイチヴァルグ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,3,3,epic,epic,guard,guard,367,118,73,132,44,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,岩竜と大地,岩間で眠る子竜が、山ひとつを守る,だいちの ちからを あつめる。ねむると じめんが みどりに なる。,13,6,7,5,26,12,18,9,43,19,31,13,77,34,57,22,110,48,84,31,178,78,137,49,346,151,269,93
190,m190,F065,ホシリュウ,ホシリュウ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,1,3,epic,epic,speed,speed,216,47,69,35,65,level,46,m191,ギンガリュウ,wild,normal-wild,True,3,40/40/40/40,False,False,星竜と銀河,流れ星と飛ぶ子が、星をひとつ作れるようになる,ながれぼしと いっしょに とぶ。ねがいごとを はこぶと いわれる。,11,6,5,6,19,11,8,11,29,18,12,18,48,32,19,31,68,46,26,44,107,74,40,70,204,143,75,135
191,m191,F065,ホシリュウ,ギンガリュウ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,2,3,epic,epic,attacker,attacker,292,65,98,50,79,stone,moon,m192,コスモドラグ,wild,normal-wild,True,4,40/60/60/40-60,False,False,星竜と銀河,流れ星と飛ぶ子が、星をひとつ作れるようになる,からだに ぎんがが ながれている。よるの そらに とけこむ。,12,6,6,6,21,14,10,12,33,24,15,20,56,44,25,36,79,63,35,52,125,103,55,84,240,201,105,163
192,m192,F065,ホシリュウ,コスモドラグ,4,ぎんがの みやこ・そらの はて,ドラゴン,dragon,3,3,legend,legend,attacker,slowPower,408,100,142,78,88,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,星竜と銀河,流れ星と飛ぶ子が、星をひとつ作れるようになる,うちゅうの はてから きた りゅう。ほしを ひとつ つくれると いわれる。,13,7,6,6,25,19,12,13,40,33,20,22,70,61,36,40,100,90,51,57,160,147,83,93,310,289,161,181
193,m193,F066,ホシビト,ホシビト,4,ぎんがの みやこ・そらの はて,エスパー,psychic,1,3,rare,rare,support,balanced,200,54,54,48,44,level,42,m194,セイカイジン,wild,normal-wild,True,2,40/40/40/40,False,False,訪問者と星の地図,言葉は通じないが、星の地図を持ってきた,そらから おりてきた ふしぎな こ。ことばは つうじないが やさしい。,12,6,5,5,20,10,9,9,30,15,14,13,51,26,24,22,72,37,33,31,114,59,53,49,218,113,101,93
194,m194,F066,ホシビト,セイカイジン,4,ぎんがの みやこ・そらの はて,エスパー,psychic,2,3,epic,epic,attacker,attacker,292,76,89,66,61,level,55,m195,アストラーゼ,wild,normal-wild,True,4,40/60/60/40-60,False,False,訪問者と星の地図,言葉は通じないが、星の地図を持ってきた,きかいを こころで うごかす。ほしの ちずを もっている。,12,6,6,6,22,13,11,11,35,22,18,17,60,40,31,29,85,58,44,41,136,94,71,66,262,183,137,127
195,m195,F066,ホシビト,アストラーゼ,4,ぎんがの みやこ・そらの はて,エスパー,psychic,3,3,legend,legend,attacker,attacker,408,104,133,89,82,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,訪問者と星の地図,言葉は通じないが、星の地図を持ってきた,ほしの ちずを ひらき、まだ だれも しらない みちを おしえる。,13,7,6,6,25,18,13,13,40,31,22,21,71,58,40,37,102,84,58,54,164,138,94,87,318,271,183,169
196,m196,F067,ネジロボ,ネジロボ,4,ぎんがの みやこ・そらの はて,はがね,steel,1,3,rare,rare,guard,defenseTank,200,56,44,76,24,level,42,m197,メカガルド,wild,normal-wild,True,2,40/40/40/40,False,False,古代機械と守護,持ち主を探し続ける小さな機械が、街ひとつを守るまで,だれかが つくった ちいさな きかい。もちぬしを さがしている。,12,5,6,5,20,9,12,7,31,13,20,9,52,22,35,14,73,31,50,19,116,49,81,29,222,93,157,53
197,m197,F067,ネジロボ,メカガルド,4,ぎんがの みやこ・そらの はて,はがね,steel,2,3,epic,epic,guard,defenseTank,292,82,64,111,35,held_item_levelup,corepart,m198,イグナヴェル,wild,normal-wild,True,4,40/60/60/40-60,False,False,古代機械と守護,持ち主を探し続ける小さな機械が、街ひとつを守るまで,まちを まもるために つくられた。めいれいが なくても はたらく。,12,6,7,5,23,11,16,8,36,17,27,12,62,30,49,19,89,43,71,26,142,69,116,40,274,133,227,75
198,m198,F067,ネジロボ,イグナヴェル,4,ぎんがの みやこ・そらの はて,はがね,steel,3,3,legend,legend,guard,defenseTank,408,114,90,155,49,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,古代機械と守護,持ち主を探し続ける小さな機械が、街ひとつを守るまで,まちを まるごと まもれる。ねむると こうじょうに みえる。,13,6,8,5,26,14,20,9,42,23,36,14,75,41,67,24,108,59,98,34,174,95,160,54,338,185,315,103
199,m199,F068,カガミィ,カガミィ,4,ぎんがの みやこ・そらの はて,はがね,steel,1,3,rare,rare,support,balanced,200,54,54,48,44,level,42,m200,ミラーガネ,wild,normal-wild,True,2,40/40/40/40,False,False,鏡と銀,自分の姿しか映せない子が、相手の心まで映す,ぎんいろの からだが かがみの ように ひかる。じぶんが うつる。,12,6,5,5,20,10,9,9,30,15,14,13,51,26,24,22,72,37,33,31,114,59,53,49,218,113,101,93
200,m200,F068,カガミィ,ミラーガネ,4,ぎんがの みやこ・そらの はて,はがね,steel,2,3,epic,epic,guard,defenseTank,292,80,74,83,55,level,55,m201,アルジェント,wild,normal-wild,True,4,40/60/60/40-60,False,False,鏡と銀,自分の姿しか映せない子が、相手の心まで映す,ちかづいた ものを うつす。うつされると すこし ドキッとする。,12,6,6,6,23,12,13,10,36,19,21,16,62,34,38,27,88,49,54,38,140,79,88,60,270,153,171,115
201,m201,F068,カガミィ,アルジェント,4,ぎんがの みやこ・そらの はて,はがね,steel,3,3,epic,epic,attacker,slowPower,367,103,102,101,61,,,,,evolutionOnly,not-wild,False,5,60/60/80/100,False,False,鏡と銀,自分の姿しか映せない子が、相手の心まで映す,うつした あいての ちからを そのまま かえす。,13,7,7,6,25,15,15,11,40,25,25,17,71,45,45,29,101,66,65,41,163,107,106,66,316,209,207,127
202,m202,F069,ヨロイダマ,ヨロイダマ,4,ぎんがの みやこ・そらの はて,ゴースト,ghost,1,3,rare,rare,guard,guard,200,64,40,72,24,level,42,m203,ソウルナイト,wild,normal-wild,True,2,40/40/40/40,False,False,古い鎧と約束,持ち主を待ち続けた鎧が、約束を守る騎士になる,ふるい よろいに たましいが やどった。もちぬしを まちつづけている。,12,5,6,5,21,9,12,7,32,13,19,9,55,21,33,14,78,29,48,19,124,45,77,29,238,85,149,53
203,m203,F069,ヨロイダマ,ソウルナイト,4,ぎんがの みやこ・そらの はて,ゴースト,ghost,2,3,epic,epic,attacker,slowPower,292,92,75,94,31,level,55,m204,エターナード,wild,normal-wild,True,4,40/60/60/40-60,False,False,古い鎧と約束,持ち主を待ち続けた鎧が、約束を守る騎士になる,つるぎを かまえて まもる。やくそくを ぜったいに やぶらない。,12,6,6,5,24,12,14,8,38,20,23,11,66,35,42,17,95,50,61,23,152,80,99,36,294,155,193,67
