fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
1,m001,モコハ,2,m002,ワカバネ,F001,1,くさ,level,17,Lv.17到達で進化可能,200,270,70,19,19,17,15,True,45.0,51.0,23.0,29.0,21.0,27.0,19.0,25.0
2,m002,ワカバネ,3,m003,ジュランガ,F001,1,くさ,level,33,Lv.33到達で進化可能,270,340,70,27,17,15,11,True,91.0,109.0,53.0,64.0,47.0,57.0,43.0,51.0
4,m004,ヒノポ,5,m005,メラガミ,F002,1,ほのお,level,17,Lv.17到達で進化可能,200,270,70,17,27,14,12,True,43.0,49.0,30.0,40.0,18.0,23.0,17.0,21.0
5,m005,メラガミ,6,m006,グレンドウ,F002,1,ほのお,level,33,Lv.33到達で進化可能,270,340,70,17,27,14,12,True,85.0,97.0,72.0,90.0,40.0,49.0,36.0,44.0
7,m007,シズク,8,m008,ミナモリ,F003,1,みず,level,17,Lv.17到達で進化可能,200,270,70,27,17,15,11,True,52.0,62.0,21.0,27.0,19.0,25.0,15.0,19.0
8,m008,ミナモリ,9,m009,ワダツラ,F003,1,みず,level,33,Lv.33到達で進化可能,270,340,70,27,17,15,11,True,110.0,128.0,47.0,59.0,43.0,53.0,33.0,40.0
10,m010,ポフィ,11,m011,ハネウサ,F004,1,ノーマル,level,19,Lv.19到達で進化可能,190,256,66,14,21,11,20,True,44.0,50.0,28.0,36.0,16.0,20.0,26.0,34.0
11,m011,ハネウサ,12,m012,シッソウガ,F004,1,ノーマル,level,38,Lv.38到達で進化可能,256,340,84,19,27,13,25,True,90.0,105.0,67.0,87.0,36.0,46.0,63.0,82.0
13,m013,ニャミィ,14,m014,シマニャン,F005,1,ノーマル,level,19,Lv.19到達で進化可能,190,256,66,16,25,13,12,True,48.0,54.0,24.0,33.0,22.0,27.0,20.0,25.0
14,m014,シマニャン,15,m015,ゴウガレン,F005,1,ノーマル,level,38,Lv.38到達で進化可能,256,340,84,20,32,17,15,True,98.0,114.0,62.0,87.0,49.0,62.0,46.0,57.0
16,m016,ピヨリ,17,m017,カゼツバサ,F006,1,ひこう,level,19,Lv.19到達で進化可能,190,256,66,14,21,11,20,True,44.0,50.0,28.0,36.0,16.0,20.0,26.0,34.0
17,m017,カゼツバサ,18,m018,ソラガイル,F006,1,ひこう,level,38,Lv.38到達で進化可能,256,323,67,13,23,9,22,True,90.0,100.0,67.0,84.0,36.0,43.0,63.0,80.0
19,m019,コロムシ,20,m020,マユゴモリ,F007,1,むし,level,19,Lv.19到達で進化可能,190,256,66,21,13,24,8,True,48.0,56.0,24.0,29.0,22.0,31.0,20.0,24.0
20,m020,マユゴモリ,21,m021,ニジアゲハ,F007,1,むし,level,38,Lv.38到達で進化可能,256,323,67,18,18,16,15,True,102.0,116.0,53.0,67.0,58.0,70.0,43.0,54.0
22,m022,チクリン,23,m023,ハリバチ,F008,1,むし,level,19,Lv.19到達で進化可能,190,256,66,16,25,13,12,True,46.0,52.0,32.0,41.0,19.0,24.0,17.0,22.0
23,m023,ハリバチ,24,m024,クイーンザ,F008,1,むし,level,38,Lv.38到達で進化可能,256,340,84,17,28,12,27,True,95.0,108.0,78.0,100.0,43.0,52.0,39.0,60.0
25,m025,パチネ,26,m026,ビリスケ,F009,1,でんき,level,19,Lv.19到達で進化可能,190,256,66,14,21,11,20,True,44.0,50.0,28.0,36.0,16.0,20.0,26.0,34.0
26,m026,ビリスケ,27,m027,ライガミ,F009,1,でんき,stone,thunder,thunderを1個消費して即時進化,256,340,84,17,28,12,27,True,,,,,,,,
28,m028,ピカタマ,29,m029,イナホタル,F010,1,でんき,level,19,Lv.19到達で進化可能,190,256,66,18,18,16,14,True,48.0,55.0,24.0,31.0,22.0,28.0,20.0,26.0
29,m029,イナホタル,30,m030,ライメイガ,F010,1,でんき,level,38,Lv.38到達で進化可能,256,340,84,17,28,12,27,True,100.0,113.0,57.0,78.0,52.0,61.0,47.0,68.0
31,m031,モグポン,32,m032,ホリドリル,F011,1,じめん,level,19,Lv.19到達で進化可能,190,256,66,20,25,16,5,True,56.0,63.0,22.0,31.0,20.0,27.0,16.0,18.0
32,m032,ホリドリル,33,m033,ダイクツガ,F011,1,じめん,level,38,Lv.38到達で進化可能,256,340,84,25,32,20,7,True,117.0,136.0,58.0,83.0,49.0,64.0,31.0,36.0
34,m034,コロビシ,35,m035,イワノシ,F012,1,いわ,level,19,Lv.19到達で進化可能,190,256,66,18,15,25,8,True,49.0,55.0,20.0,26.0,32.0,41.0,13.0,16.0
35,m035,イワノシ,36,m036,ガンリュウド,F012,1,いわ,level,38,Lv.38到達で進化可能,256,340,84,24,18,32,10,True,101.0,120.0,48.0,62.0,78.0,103.0,28.0,36.0
37,m037,オタマル,38,m038,ケロジャン,F013,1,みず,level,19,Lv.19到達で進化可能,190,256,66,16,25,13,12,True,48.0,54.0,24.0,33.0,22.0,27.0,20.0,25.0
38,m038,ケロジャン,39,m039,ガマドロス,F013,1,みず,stone,water,waterを1個消費して即時進化,256,340,84,32,20,19,13,True,,,,,,,,
40,m040,ネッコロ,41,m041,ハナコロ,F014,1,くさ,level,19,Lv.19到達で進化可能,190,256,66,25,16,14,11,True,48.0,57.0,24.0,30.0,22.0,27.0,20.0,25.0
41,m041,ハナコロ,42,m042,ハルミドリ,F014,1,くさ,stone,leaf,leafを1個消費して即時進化,256,340,84,32,20,19,13,True,,,,,,,,
43,m043,プヨドロ,44,m044,ベトネル,F015,1,どく,level,19,Lv.19到達で進化可能,190,256,66,21,13,24,8,True,52.0,60.0,19.0,24.0,30.0,39.0,13.0,16.0
44,m044,ベトネル,45,m045,ドロヴァルド,F015,1,どく,level,38,Lv.38到達で進化可能,256,340,84,27,17,30,10,True,110.0,130.0,43.0,56.0,74.0,97.0,28.0,36.0
46,m046,コブシコ,47,m047,ケンドウガ,F016,1,かくとう,level,19,Lv.19到達で進化可能,190,256,66,20,25,16,5,True,50.0,58.0,32.0,41.0,22.0,28.0,10.0,12.0
47,m047,ケンドウガ,48,m048,ブジンザ,F016,1,かくとう,level,38,Lv.38到達で進化可能,256,340,84,25,32,20,7,True,106.0,125.0,78.0,103.0,52.0,67.0,20.0,25.0
49,m049,ホワミィ,50,m050,メルフィ,F017,1,フェアリー,level,21,Lv.21到達で進化可能,200,270,70,27,17,15,11,True,62.0,74.0,25.0,32.0,23.0,29.0,18.0,23.0
50,m050,メルフィ,51,m051,マシュランテ,F017,1,フェアリー,stone,moon,moonを1個消費して即時進化,270,367,97,37,23,21,16,True,,,,,,,,
52,m052,ネンリィ,53,m053,サイキル,F018,1,エスパー,level,21,Lv.21到達で進化可能,200,270,70,17,27,14,12,True,53.0,60.0,27.0,39.0,25.0,31.0,23.0,28.0
53,m053,サイキル,54,m054,メンタリオン,F018,1,エスパー,level,41,Lv.41到達で進化可能,270,367,97,23,37,19,18,True,109.0,128.0,71.0,101.0,55.0,71.0,50.0,65.0
