fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
55,m055,マグポコ,56,m056,ヨウガン,F019,2,ほのお,level,23,Lv.23到達で進化可能,190,256,66,20,25,16,5,True,59.0,68.0,38.0,49.0,26.0,33.0,11.0,14.0
56,m056,ヨウガン,57,m057,カザングド,F019,2,ほのお,stone,fire,fireを1個消費して即時進化,256,340,84,25,32,20,7,True,,,,,,,,
58,m058,ロウソッコ,59,m059,トモシビ,F020,2,ほのお,held_item_levelup,emberwick,emberwickを装備した状態で次のLvUP時に進化Ready,190,256,66,18,18,16,14,True,,,,,,,,
59,m059,トモシビ,60,m060,アカリガルド,F020,2,ほのお,level,40,Lv.40到達で進化可能,256,340,84,23,23,20,18,True,105.0,123.0,60.0,78.0,54.0,70.0,49.0,64.0
61,m061,スナチロ,62,m062,サバクトカ,F021,2,じめん,level,23,Lv.23到達で進化可能,190,256,66,20,25,16,5,True,52.0,61.0,33.0,44.0,18.0,26.0,31.0,33.0
62,m062,サバクトカ,63,m063,オアシドン,F021,2,じめん,held_item_levelup,sunscale,sunscaleを装備した状態で次のLvUP時に進化Ready,256,340,84,32,20,19,13,True,,,,,,,,
64,m064,カセキーノ,65,m065,コダイガメ,F022,2,いわ,stone,ancient,ancientを1個消費して即時進化,190,270,80,22,18,30,10,True,,,,,,,,
65,m065,コダイガメ,66,m066,ゲンコツヅラ,F022,2,いわ,level,40,Lv.40到達で進化可能,270,367,97,27,21,37,12,True,110.0,131.0,53.0,69.0,86.0,116.0,31.0,41.0
67,m067,ネジコロ,68,m068,ハガネット,F023,2,はがね,level,23,Lv.23到達で進化可能,190,256,66,18,15,25,8,True,57.0,65.0,24.0,31.0,38.0,49.0,15.0,19.0
68,m068,ハガネット,69,m069,テツガイア,F023,2,はがね,held_item_levelup,steelplate,steelplateを装備した状態で次のLvUP時に進化Ready,256,340,84,24,18,32,10,True,,,,,,,,
70,m070,カミナリコ,71,m071,イナヅマウマ,F024,2,でんき,level,25,Lv.25到達で進化可能,200,270,70,15,23,11,21,True,57.0,64.0,37.0,48.0,21.0,26.0,35.0,45.0
71,m071,イナヅマウマ,72,m072,ライテイガ,F024,2,でんき,level,43,Lv.43到達で進化可能,270,367,97,19,33,14,31,True,103.0,120.0,79.0,108.0,41.0,54.0,74.0,101.0
73,m073,ウロッコ,74,m074,ハヤビレ,F025,2,みず,level,23,Lv.23到達で進化可能,190,256,66,16,25,13,12,True,52.0,59.0,33.0,44.0,18.0,24.0,31.0,36.0
74,m074,ハヤビレ,75,m075,シオカゼル,F025,2,みず,level,40,Lv.40到達で進化可能,256,340,84,19,27,13,25,True,96.0,111.0,73.0,95.0,39.0,49.0,60.0,80.0
76,m076,クラフワ,77,m077,ヒカリガサ,F026,2,みず,level,23,Lv.23到達で進化可能,190,256,66,18,18,16,14,True,56.0,64.0,28.0,36.0,26.0,33.0,24.0,30.0
77,m077,ヒカリガサ,78,m078,ルミクラゲン,F026,2,みず,level,40,Lv.40到達で進化可能,256,340,84,23,23,20,18,True,105.0,123.0,60.0,78.0,54.0,70.0,49.0,64.0
79,m079,キノポイ,80,m080,キノタケン,F027,2,どく,level,23,Lv.23到達で進化可能,190,256,66,16,25,13,12,True,56.0,63.0,28.0,39.0,26.0,32.0,24.0,29.0
80,m080,キノタケン,81,m081,キノガルダ,F027,2,どく,stone,leaf,leafを1個消費して即時進化,256,340,84,27,17,30,10,True,,,,,,,,
82,m082,ツルリン,83,m083,ジャングリ,F028,2,くさ,level,23,Lv.23到達で進化可能,190,256,66,16,25,13,12,True,56.0,63.0,28.0,39.0,26.0,32.0,24.0,29.0
83,m083,ジャングリ,84,m084,ミドリヴァイン,F028,2,くさ,level,40,Lv.40到達で進化可能,256,340,84,20,32,17,15,True,103.0,119.0,65.0,91.0,52.0,65.0,48.0,60.0
85,m085,サボテニョ,86,m086,ハナトゲ,F029,2,くさ,level,23,Lv.23到達で進化可能,190,256,66,16,25,13,12,True,66.0,73.0,26.0,37.0,24.0,30.0,18.0,24.0
86,m086,ハナトゲ,87,m087,カクタリア,F029,2,くさ,level,40,Lv.40到達で進化可能,256,340,84,20,32,17,15,True,120.0,136.0,61.0,87.0,49.0,62.0,38.0,50.0
88,m088,イワザル,89,m089,ゴウザル,F030,2,かくとう,level,23,Lv.23到達で進化可能,190,256,66,20,25,16,5,True,59.0,68.0,38.0,49.0,26.0,33.0,11.0,14.0
89,m089,ゴウザル,90,m090,センガンジ,F030,2,かくとう,level,40,Lv.40到達で進化可能,256,340,84,25,32,20,7,True,111.0,131.0,82.0,108.0,54.0,70.0,21.0,26.0
91,m091,ケリッコ,92,m092,トビゲリ,F031,2,かくとう,level,23,Lv.23到達で進化可能,190,256,66,14,21,11,20,True,52.0,58.0,33.0,42.0,18.0,23.0,31.0,40.0
92,m092,トビゲリ,93,m093,シッコクレン,F031,2,かくとう,held_item_levelup,windband,windbandを装備した状態で次のLvUP時に進化Ready,256,340,84,19,27,13,25,True,,,,,,,,
94,m094,コウモリン,95,m095,オトバサ,F032,2,ひこう,level,23,Lv.23到達で進化可能,190,256,66,16,25,13,12,True,52.0,59.0,33.0,44.0,18.0,24.0,31.0,36.0
95,m095,オトバサ,96,m096,ヤミツバサ,F032,2,ひこう,level,40,Lv.40到達で進化可能,256,340,84,17,28,12,27,True,96.0,110.0,73.0,96.0,39.0,49.0,60.0,81.0
97,m097,ネムリン,98,m098,ユメミィ,F033,2,エスパー,level,25,Lv.25到達で進化可能,200,270,70,27,17,15,11,True,62.0,75.0,32.0,40.0,29.0,36.0,27.0,32.0
98,m098,ユメミィ,99,m099,ムゲンリオ,F033,2,エスパー,level,43,Lv.43到達で進化可能,270,367,97,37,23,21,16,True,122.0,154.0,66.0,85.0,59.0,77.0,52.0,66.0
