fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
119,m119,ユキダマル,120,m120,コオリグマ,F041,3,こおり,level,30,Lv.30到達で進化可能,190,256,66,18,15,25,8,True,71.0,82.0,30.0,39.0,48.0,63.0,18.0,23.0
120,m120,コオリグマ,121,m121,ヒョウガルド,F041,3,こおり,stone,ice,iceを1個消費して即時進化,256,367,111,31,25,42,13,True,,,,,,,,
122,m122,ツララン,123,m123,クリスタリン,F042,3,こおり,stone,ice,iceを1個消費して即時進化,190,270,80,19,31,16,14,True,,,,,,,,
123,m123,クリスタリン,124,m124,ダイヤグレス,F042,3,こおり,held_item_levelup,frostgem,frostgemを装備した状態で次のLvUP時に進化Ready,270,367,97,27,21,37,12,True,,,,,,,,
125,m125,ペンペンコ,126,m126,アイスペン,F043,3,こおり,level,30,Lv.30到達で進化可能,190,256,66,14,21,11,20,True,70.0,79.0,35.0,48.0,32.0,39.0,30.0,42.0
126,m126,アイスペン,127,m127,ヒョウテイン,F043,3,こおり,stone,ice,iceを1個消費して即時進化,256,367,111,31,25,42,13,True,,,,,,,,
128,m128,アザラっコ,129,m129,セイウチドン,F044,3,みず,level,30,Lv.30到達で進化可能,190,256,66,25,16,14,11,True,83.0,98.0,32.0,42.0,30.0,38.0,23.0,29.0
129,m129,セイウチドン,130,m130,ヒョウガバ,F044,3,みず,level,45,Lv.45到達で進化可能,256,340,84,32,20,19,13,True,142.0,171.0,60.0,78.0,55.0,72.0,41.0,53.0
131,m131,ウタノオト,132,m132,シードラゴ,F045,3,みず,level,32,Lv.32到達で進化可能,200,270,70,17,27,14,12,True,76.0,87.0,39.0,56.0,35.0,44.0,33.0,40.0
132,m132,シードラゴ,133,m133,カイテイリオ,F045,3,みず,stone,water,waterを1個消費して即時進化,270,367,97,23,37,19,18,True,,,,,,,,
134,m134,モリノコ,135,m135,ジュモクン,F046,3,くさ,level,30,Lv.30到達で進化可能,190,256,66,25,16,14,11,True,70.0,85.0,35.0,45.0,32.0,41.0,30.0,36.0
135,m135,ジュモクン,136,m136,センジュガ,F046,3,くさ,stone,leaf,leafを1個消費して即時進化,256,367,111,42,27,24,18,True,,,,,,,,
137,m137,クワガチ,138,m138,オオクワガ,F047,3,むし,level,30,Lv.30到達で進化可能,190,270,80,19,31,16,14,True,67.0,79.0,48.0,66.0,27.0,37.0,25.0,33.0
138,m138,オオクワガ,139,m139,ハサミガルダ,F047,3,むし,level,45,Lv.45到達で進化可能,270,367,97,19,33,14,31,True,113.0,130.0,97.0,127.0,53.0,66.0,48.0,76.0
140,m140,カブトチ,141,m141,カブトガル,F048,3,むし,level,30,Lv.30到達で進化可能,190,270,80,26,16,29,9,True,76.0,92.0,27.0,37.0,45.0,63.0,18.0,24.0
