fromNo,fromId,fromName,toNo,toId,toName,familyNo,area,type,method,param,triggerRule,fromBST,toBST,deltaBST,deltaBaseHP,deltaBaseAttack,deltaBaseDefense,deltaBaseSpeed,nonDecrease,triggerBefore_HP,triggerAfter_HP,triggerBefore_ATK,triggerAfter_ATK,triggerBefore_DEF,triggerAfter_DEF,triggerBefore_SPD,triggerAfter_SPD
184,m184,ドラミィ,185,m185,ソラドラゴ,F063,4,ドラゴン,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,97.0,115.0,50.0,79.0,45.0,60.0,41.0,56.0
185,m185,ソラドラゴ,186,m186,ニジリュウガ,F063,4,ドラゴン,held_item_levelup,dragonfang,dragonfangを装備した状態で次のLvUP時に進化Ready,292,367,75,18,29,15,13,True,,,,,,,,
187,m187,リュウノコ,188,m188,ガンリュウガ,F064,4,ドラゴン,level,42,Lv.42到達で進化可能,200,292,92,30,18,33,11,True,105.0,130.0,38.0,53.0,65.0,93.0,25.0,34.0
188,m188,ガンリュウガ,189,m189,ダイチヴァルグ,F064,4,ドラゴン,stone,ancient,ancientを1個消費して即時進化,292,367,75,24,15,27,9,True,,,,,,,,
190,m190,ホシリュウ,191,m191,ギンガリュウ,F065,4,ドラゴン,level,46,Lv.46到達で進化可能,216,292,76,18,29,15,14,True,99.0,115.0,68.0,95.0,37.0,51.0,64.0,77.0
191,m191,ギンガリュウ,192,m192,コスモドラグ,F065,4,ドラゴン,stone,moon,moonを1個消費して即時進化,292,408,116,35,44,28,9,True,,,,,,,,
193,m193,ホシビト,194,m194,セイカイジン,F066,4,エスパー,level,42,Lv.42到達で進化可能,200,292,92,22,35,18,17,True,97.0,115.0,50.0,79.0,45.0,60.0,41.0,56.0
194,m194,セイカイジン,195,m195,アストラーゼ,F066,4,エスパー,level,55,Lv.55到達で進化可能,292,408,116,28,44,23,21,True,148.0,179.0,102.0,151.0,77.0,102.0,72.0,95.0
196,m196,ネジロボ,197,m197,メカガルド,F067,4,はがね,level,42,Lv.42到達で進化可能,200,292,92,26,20,35,11,True,99.0,120.0,41.0,58.0,68.0,98.0,25.0,34.0
197,m197,メカガルド,198,m198,イグナヴェル,F067,4,はがね,held_item_levelup,corepart,corepartを装備した状態で次のLvUP時に進化Ready,292,408,116,32,26,44,14,True,,,,,,,,
