fromNo,toNo,method,itemId,area,unlockMilestone,unlockRule,earliestAcquisition,grantCount
26,27,stone,thunder,1,evo-a1,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
38,39,stone,water,1,evo-a1,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
41,42,stone,leaf,1,evo-a1,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
50,51,stone,moon,1,evo-a1,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
56,57,stone,fire,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
58,59,held_item_levelup,emberwick,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
62,63,held_item_levelup,sunscale,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
64,65,stone,ancient,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
68,69,held_item_levelup,steelplate,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
80,81,stone,leaf,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
92,93,held_item_levelup,windband,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
113,114,stone,dusk,2,evo-a2,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
120,121,stone,ice,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
122,123,stone,ice,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
123,124,held_item_levelup,frostgem,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
126,127,stone,ice,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
132,133,stone,water,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
135,136,stone,leaf,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
141,142,held_item_levelup,barkarmor,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
143,144,stone,moon,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
146,147,stone,dusk,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
149,150,held_item_levelup,nightfeather,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
155,156,held_item_levelup,steelplate,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
158,159,stone,ancient,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
173,174,held_item_levelup,skyplume,3,evo-a3,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
185,186,held_item_levelup,dragonfang,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
188,189,stone,ancient,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
191,192,stone,moon,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
197,198,held_item_levelup,corepart,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
206,207,stone,dusk,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
209,210,stone,moon,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
217,218,stone,thunder,4,evo-a4,area-gate+source-owned+daily-complete,transition-trial-first-clear,1
