speciesId,family,stage,attribute,candidatePath,rawBytes,sha256,canvasWidth,canvasHeight,alphaMin,alphaMax,transparentPixelRatio,opaquePixelRatio,visiblePixelRatio,alphaFringeRatio,bboxWidthRatio,bboxHeightRatio,topMargin,bottomMargin,leftMargin,rightMargin,visibleCentroidX,visibleCentroidY,centerOffsetX,centerOffsetY,edgeContact,nearEdgeContact,bboxTouchesEdges,opaqueCornerCount,fullyOpaqueCanvas,nearlyOpaqueCanvas,rectangularBackgroundSuspicion,whiteRectangleSuspicion,grayRectangleSuspicion,blackRectangleSuspicion,connectedComponentCount,largestVisibleComponentRatio,lowDensitySuspicion,meanLuminance,meanSaturation,edgeDensity,styleQualityOutlier,styleOutlierFields
m001,F001,1,grass,public/monsters/m001.webp,38504,7155656d37ec2541fc97adfacb99c74368fe0be5ffdf90080aab86f97431b041,512,512,0,255,0.520283,0.415054,0.449299,0.034245,0.847656,0.800781,0.099609,0.099609,0.076172,0.076172,0.49543,0.519469,-0.00457,0.019469,false,false,0,0,false,false,false,false,false,false,83,0.989073,false,111.502543,0.565969,0.027299,false,
m002,F001,2,grass,public/monsters/m002.webp,53540,f6772e39647f1ba8e78ed9386e52d058bdacb4c255c5f2c95c1a572661d28ac4,512,512,0,255,0.434093,0.475357,0.528526,0.053169,0.847656,0.847656,0.076172,0.076172,0.076172,0.076172,0.517201,0.538052,0.017201,0.038052,false,false,0,0,false,false,false,false,false,false,156,0.980101,false,110.512809,0.510988,0.034345,false,
m003,F001,3,grass,public/monsters/m003.webp,52434,d3c94c46b180e1354ddfabd5c7f6701a3ad60e23dcd7f553746b01a957b29be0,512,512,0,255,0.430527,0.535103,0.553764,0.018661,0.824219,0.84375,0.078125,0.078125,0.087891,0.087891,0.512584,0.546173,0.012584,0.046173,false,false,0,0,false,false,false,false,false,false,23,0.999828,false,97.830523,0.52247,0.058468,false,
m004,F002,1,fire,public/monsters/m004.webp,148868,e7370f61737c2139187d48b0195c7c84865a1c71352760ad342226f6b4d88794,512,512,0,255,0.688839,0.256432,0.296207,0.039776,0.634766,0.84375,0.080078,0.076172,0.183594,0.181641,0.446346,0.517953,-0.053654,0.017953,false,false,0,0,false,false,false,false,false,false,13,0.999807,false,119.852969,0.55305,0.032906,false,
m005,F002,2,fire,public/monsters/m005.webp,157092,6006961d581410b387a5af049cda9099a3a8982872cca0bef4198708aa113dc3,512,512,0,255,0.687546,0.256123,0.297749,0.041626,0.847656,0.798828,0.101563,0.099609,0.076172,0.076172,0.421587,0.494434,-0.078413,-0.005566,false,false,0,0,false,false,false,false,false,false,4,0.999962,false,113.716659,0.618155,0.036912,false,
m006,F002,3,fire,public/monsters/m006.webp,159734,2bc39baebda89f387b57d522ffa618c444d0ccb1501e014edfbc736402163991,512,512,0,255,0.686764,0.261887,0.30056,0.038673,0.855469,0.6875,0.15625,0.15625,0.072266,0.072266,0.430752,0.493315,-0.069248,-0.006685,false,false,0,0,false,false,false,false,false,false,5,0.999949,false,118.371356,0.635255,0.038775,false,
m007,F003,1,water,public/monsters/m007.webp,177492,98665390498734104206dd9b82951fa49f3a2c5db843d6bf1233a40250caff18,512,512,0,255,0.601566,0.373508,0.384727,0.011219,0.798828,0.978516,0.011719,0.009766,0.101563,0.099609,0.494856,0.547503,-0.005144,0.047503,false,true,0,0,false,false,false,false,false,false,1,1,false,179.277884,0.440934,0.045619,false,
m008,F003,2,water,public/monsters/m008.webp,253290,0fc5e0fff8edec521f08367d69dc157b599b9bfa8bcc3a6636c7fddc2178cd2a,512,512,0,255,0.505592,0.428188,0.46183,0.033642,0.912109,0.962891,0.011719,0.025391,0.048828,0.039063,0.528663,0.515833,0.028663,0.015833,false,false,0,0,false,false,false,false,false,false,29,0.979317,false,182.693584,0.482658,0.062505,false,
m009,F003,3,water,public/monsters/m009.webp,322938,4246a204a6353c76db575b417a75b7b9ee70e4563d2005f5121a20c2107bf937,512,512,0,255,0.377533,0.557365,0.591881,0.034515,0.978516,0.984375,0.005859,0.009766,0.011719,0.009766,0.520181,0.533212,0.020181,0.033212,false,true,0,0,false,false,false,false,false,false,11,0.997706,false,172.58836,0.541978,0.060773,false,
m010,F004,1,normal,public/monsters/m010.webp,61812,8cdc0e759bcceda804eed3936f9b270fcf0747827e378d562a2d30029e019f21,640,640,0,255,0.598066,0.373794,0.388052,0.014258,0.678125,0.94375,0.00625,0.05,0.170313,0.151562,0.500776,0.478033,0.000776,-0.021967,false,true,0,0,false,false,false,false,false,false,6,0.999969,false,169.612052,0.365534,0.047057,false,
m011,F004,2,normal,public/monsters/m011.webp,82792,97270ef1e7e6445bf5ac49293fc256f12b283563c0a533d784960e839e12c599,640,640,0,255,0.476624,0.484597,0.505229,0.020632,0.95,0.996875,0,0.003125,0.025,0.025,0.506505,0.4436,0.006505,-0.0564,true,true,1,0,false,false,false,false,false,false,17,0.999918,false,117.280663,0.437011,0.048786,false,
m012,F004,3,normal,public/monsters/m012.webp,87854,61444a71535cc2778cb2ef1a645a788d6b121cbd539016962c019070bee8147e,640,640,0,255,0.53303,0.446233,0.46072,0.014487,0.90625,0.95,0.023438,0.026562,0.048438,0.045312,0.50617,0.444773,0.00617,-0.055227,false,false,0,0,false,false,false,false,false,false,10,0.999926,false,118.098344,0.437754,0.068278,false,
m013,F005,1,normal,public/monsters/m013.webp,3270,1f49b1275456654cf259b0b737f0f5b436dab56e6860801c5a0db8e326da884e,640,640,0,255,0.977598,0.022402,0.022402,0,0.165625,0.234375,0.382813,0.382813,0.417187,0.417187,0.509166,0.523153,0.009166,0.023153,false,false,0,0,false,false,false,false,false,false,1,1,true,179.717052,0.323328,0.041636,false,
m014,F005,2,normal,public/monsters/m014.webp,3988,b6a58b35abaa165c18233f6672a2f6bba81ed790996066c995810b5ddc77bc29,640,640,0,255,0.970979,0.029021,0.029021,0,0.223438,0.290625,0.354687,0.354687,0.3875,0.389062,0.479106,0.521803,-0.020894,0.021803,false,false,0,0,false,false,false,false,false,false,3,0.990326,true,160.619472,0.325952,0.045232,false,
m015,F005,3,normal,public/monsters/m015.webp,6944,8310c6f68641092dddb1e4a0d601c5c3a35d4f3669750aedc8253a1abfd2fec3,640,640,0,255,0.927368,0.072632,0.072632,0,0.271875,0.353125,0.323437,0.323437,0.364063,0.364063,0.498006,0.505172,-0.001994,0.005172,false,false,0,0,false,false,false,false,false,false,1,1,true,171.521625,0.298078,0.041049,false,
m016,F006,1,flying,public/monsters/m016.webp,184146,7e5401608c3cef60cf32e8479b540eb568999653a46157c6da1eefe188279682,512,512,0,255,0.627499,0.288422,0.322834,0.034412,0.867188,0.859375,0.076172,0.064453,0.083984,0.048828,0.477226,0.470489,-0.022774,-0.029511,false,false,0,0,false,false,false,false,false,false,42,0.939453,false,166.786661,0.535896,0.042689,false,
m017,F006,2,flying,public/monsters/m017.webp,244984,54d36f66870a388b81524c7cf7f6297ef211b36d00b07b8bc226c07af6a79484,512,512,0,255,0.534161,0.336578,0.390671,0.054092,0.984375,0.96875,0.007813,0.023438,0.007813,0.007813,0.500504,0.471163,0.000504,-0.028837,false,true,0,0,false,false,false,false,false,false,63,0.943942,false,158.722267,0.608087,0.047747,false,
m018,F006,3,flying,public/monsters/m018.webp,289760,498d30ef085783c61ed74f574355b5fa06d7da99fb180206a4d9941000a1857a,512,512,0,255,0.407284,0.41785,0.495483,0.077633,0.982422,0.988281,0.003906,0.007813,0.009766,0.007813,0.52824,0.473519,0.02824,-0.026481,false,true,0,0,false,false,false,false,false,false,58,0.96306,false,150.774967,0.564738,0.039855,false,
m019,F007,1,bug,public/monsters/m019.webp,189798,c9c8f758e3b8d4d40f1ff89be5bd33c3b259d806bdf143b8e07dd2d472b0270d,512,512,0,255,0.612541,0.358334,0.373333,0.014999,0.902344,0.787109,0.09375,0.119141,0.0625,0.035156,0.491179,0.513493,-0.008821,0.013493,false,false,0,0,false,false,false,false,false,false,4,0.999939,false,98.687909,0.546034,0.064825,false,
